型号,类别,厂商,entity_key,SKU(填),价格CNY(填),商品URL(填),备注(二手/店铺等)
Ryzen 3 8300G,cpu,amd,hw:amd:ryzen-3-8300g:desktop:global,,,,
Ryzen 5 5500,cpu,amd,hw:amd:ryzen-5-5500:desktop:global,,,,
Ryzen 5 5500GT,cpu,amd,hw:amd:ryzen-5-5500gt:desktop:global,,,,
Ryzen 5 5500X3D,cpu,amd,hw:amd:ryzen-5-5500x3d:desktop:global,,,,
Ryzen 5 5600,cpu,amd,hw:amd:ryzen-5-5600:desktop:global,,,,
Ryzen 5 5600G,cpu,amd,hw:amd:ryzen-5-5600g:desktop:global,,,,
Ryzen 5 5600GT,cpu,amd,hw:amd:ryzen-5-5600gt:desktop:global,,,,
Ryzen 5 5600X3D,cpu,amd,hw:amd:ryzen-5-5600x3d:desktop:global,,,,
Ryzen 5 7500F,cpu,amd,hw:amd:ryzen-5-7500f:desktop:global,,,,
Ryzen 5 7500X3D,cpu,amd,hw:amd:ryzen-5-7500x3d:desktop:global,,,,
Ryzen 5 7600X3D,cpu,amd,hw:amd:ryzen-5-7600x3d:desktop:global,,,,
Ryzen 5 8400F,cpu,amd,hw:amd:ryzen-5-8400f:desktop:global,,,,
Ryzen 5 8500G,cpu,amd,hw:amd:ryzen-5-8500g:desktop:global,,,,
Ryzen 5 8600G,cpu,amd,hw:amd:ryzen-5-8600g:desktop:global,,,,
Ryzen 5 9600,cpu,amd,hw:amd:ryzen-5-9600:desktop:global,,,,
Ryzen 7 5700,cpu,amd,hw:amd:ryzen-7-5700:desktop:global,,,,
Ryzen 7 5700G,cpu,amd,hw:amd:ryzen-7-5700g:desktop:global,,,,
Ryzen 7 5700X,cpu,amd,hw:amd:ryzen-7-5700x:desktop:global,,,,
Ryzen 7 5700X3D,cpu,amd,hw:amd:ryzen-7-5700x3d:desktop:global,,,,
Ryzen 7 7700X3D,cpu,amd,hw:amd:ryzen-7-7700x3d:desktop:global,,,,
Ryzen 7 7800X,cpu,amd,hw:amd:ryzen-7-7800x:desktop:global,,,,
Ryzen 7 8700F,cpu,amd,hw:amd:ryzen-7-8700f:desktop:global,,,,
Ryzen 7 8700G,cpu,amd,hw:amd:ryzen-7-8700g:desktop:global,,,,
Ryzen 7 9700,cpu,amd,hw:amd:ryzen-7-9700:desktop:global,,,,
Ryzen 7 9800X,cpu,amd,hw:amd:ryzen-7-9800x:desktop:global,,,,
Ryzen 9 5900X,cpu,amd,hw:amd:ryzen-9-5900x:desktop:global,,,,
Ryzen 9 5950X,cpu,amd,hw:amd:ryzen-9-5950x:desktop:global,,,,
Ryzen 9 7900,cpu,amd,hw:amd:ryzen-9-7900:desktop:global,,,,
Ryzen 9 7900X3D,cpu,amd,hw:amd:ryzen-9-7900x3d:desktop:global,,,,
Ryzen 9 9900,cpu,amd,hw:amd:ryzen-9-9900:desktop:global,,,,
Ryzen 9 9900X3D,cpu,amd,hw:amd:ryzen-9-9900x3d:desktop:global,,,,
Core i3-12100,cpu,intel,hw:intel:core-i3-12100:desktop:global,,,,
Core i3-12100F,cpu,intel,hw:intel:core-i3-12100f:desktop:global,,,,
Core i3-13100,cpu,intel,hw:intel:core-i3-13100:desktop:global,,,,
Core i3-13100F,cpu,intel,hw:intel:core-i3-13100f:desktop:global,,,,
Core i3-14100,cpu,intel,hw:intel:core-i3-14100:desktop:global,,,,
Core i3-14100F,cpu,intel,hw:intel:core-i3-14100f:desktop:global,,,,
Core i5-12490F,cpu,intel,hw:intel:core-i5-12490f:desktop:global,,,,
Core i5-12500,cpu,intel,hw:intel:core-i5-12500:desktop:global,,,,
Core i5-12600,cpu,intel,hw:intel:core-i5-12600:desktop:global,,,,
Core i5-12600K,cpu,intel,hw:intel:core-i5-12600k:desktop:global,,,,
Core i5-12600KF,cpu,intel,hw:intel:core-i5-12600kf:desktop:global,,,,
Core i5-13400T,cpu,intel,hw:intel:core-i5-13400t:desktop:global,,,,
Core i5-13500,cpu,intel,hw:intel:core-i5-13500:desktop:global,,,,
Core i5-13500T,cpu,intel,hw:intel:core-i5-13500t:desktop:global,,,,
Core i5-14400,cpu,intel,hw:intel:core-i5-14400:desktop:global,,,,
Core i5-14400F,cpu,intel,hw:intel:core-i5-14400f:desktop:global,,,,
Core i5-14400T,cpu,intel,hw:intel:core-i5-14400t:desktop:global,,,,
Core i5-14500,cpu,intel,hw:intel:core-i5-14500:desktop:global,,,,
Core i5-14500T,cpu,intel,hw:intel:core-i5-14500t:desktop:global,,,,
Core i5-14600,cpu,intel,hw:intel:core-i5-14600:desktop:global,,,,
Core i7-12700,cpu,intel,hw:intel:core-i7-12700:desktop:global,,,,
Core i7-12700K,cpu,intel,hw:intel:core-i7-12700k:desktop:global,,,,
Core i7-12700KF,cpu,intel,hw:intel:core-i7-12700kf:desktop:global,,,,
Core i7-13700F,cpu,intel,hw:intel:core-i7-13700f:desktop:global,,,,
Core i7-13700T,cpu,intel,hw:intel:core-i7-13700t:desktop:global,,,,
Core i7-14700,cpu,intel,hw:intel:core-i7-14700:desktop:global,,,,
Core i7-14700F,cpu,intel,hw:intel:core-i7-14700f:desktop:global,,,,
Core i7-14700T,cpu,intel,hw:intel:core-i7-14700t:desktop:global,,,,
Core i9-12900,cpu,intel,hw:intel:core-i9-12900:desktop:global,,,,
Core i9-12900K,cpu,intel,hw:intel:core-i9-12900k:desktop:global,,,,
Core i9-12900KF,cpu,intel,hw:intel:core-i9-12900kf:desktop:global,,,,
Core i9-12900KS,cpu,intel,hw:intel:core-i9-12900ks:desktop:global,,,,
Core i9-13900,cpu,intel,hw:intel:core-i9-13900:desktop:global,,,,
Core i9-13900KS,cpu,intel,hw:intel:core-i9-13900ks:desktop:global,,,,
Core i9-13900T,cpu,intel,hw:intel:core-i9-13900t:desktop:global,,,,
Core i9-14900,cpu,intel,hw:intel:core-i9-14900:desktop:global,,,,
Core i9-14900F,cpu,intel,hw:intel:core-i9-14900f:desktop:global,,,,
Core i9-14900KS,cpu,intel,hw:intel:core-i9-14900ks:desktop:global,,,,
Core i9-14900T,cpu,intel,hw:intel:core-i9-14900t:desktop:global,,,,
Core Ultra 5 225,cpu,intel,hw:intel:core-ultra-5-225:desktop:global,,,,
Core Ultra 5 225F,cpu,intel,hw:intel:core-ultra-5-225f:desktop:global,,,,
Core Ultra 5 225T,cpu,intel,hw:intel:core-ultra-5-225t:desktop:global,,,,
Core Ultra 5 235,cpu,intel,hw:intel:core-ultra-5-235:desktop:global,,,,
Core Ultra 5 235F,cpu,intel,hw:intel:core-ultra-5-235f:desktop:global,,,,
Core Ultra 5 235T,cpu,intel,hw:intel:core-ultra-5-235t:desktop:global,,,,
Core Ultra 5 245,cpu,intel,hw:intel:core-ultra-5-245:desktop:global,,,,
Core Ultra 5 245F,cpu,intel,hw:intel:core-ultra-5-245f:desktop:global,,,,
Core Ultra 5 245K,cpu,intel,hw:intel:core-ultra-5-245k:desktop:global,,,,
Core Ultra 5 245KF,cpu,intel,hw:intel:core-ultra-5-245kf:desktop:global,,,,
Core Ultra 5 245T,cpu,intel,hw:intel:core-ultra-5-245t:desktop:global,,,,
Core Ultra 7 265,cpu,intel,hw:intel:core-ultra-7-265:desktop:global,,,,
Core Ultra 7 265F,cpu,intel,hw:intel:core-ultra-7-265f:desktop:global,,,,
Core Ultra 7 265T,cpu,intel,hw:intel:core-ultra-7-265t:desktop:global,,,,
Core Ultra 9 285,cpu,intel,hw:intel:core-ultra-9-285:desktop:global,,,,
Core Ultra 9 285KF,cpu,intel,hw:intel:core-ultra-9-285kf:desktop:global,,,,
Core Ultra 9 285T,cpu,intel,hw:intel:core-ultra-9-285t:desktop:global,,,,
Radeon RX 6400,gpu,amd,hw:amd:radeon-rx-6400:desktop:global,,,,
Radeon RX 6500 XT,gpu,amd,hw:amd:radeon-rx-6500-xt:desktop:global,,,,
Radeon RX 6650 XT,gpu,amd,hw:amd:radeon-rx-6650-xt:desktop:global,,,,
Radeon RX 6700,gpu,amd,hw:amd:radeon-rx-6700:desktop:global,,,,
Radeon RX 6750 GRE,gpu,amd,hw:amd:radeon-rx-6750-gre:desktop:global,,,,
Radeon RX 6750 XT,gpu,amd,hw:amd:radeon-rx-6750-xt:desktop:global,,,,
Radeon RX 6950 XT,gpu,amd,hw:amd:radeon-rx-6950-xt:desktop:global,,,,
Radeon RX 7900 GRE,gpu,amd,hw:amd:radeon-rx-7900-gre:desktop:global,,,,
Radeon RX 9060 XT 8GB,gpu,amd,hw:amd:radeon-rx-9060-xt-8gb:desktop:global,,,,
Radeon RX 9070 GRE,gpu,amd,hw:amd:radeon-rx-9070-gre:desktop:global,,,,
Intel Arc A310,gpu,intel,hw:intel:arc-a310:desktop:global,,,,
GeForce RTX 3050,gpu,nvidia,hw:nvidia:geforce-rtx-3050:desktop:global,,,,
GeForce RTX 3050 6GB,gpu,nvidia,hw:nvidia:geforce-rtx-3050-6gb:desktop:global,,,,
GeForce RTX 3060,gpu,nvidia,hw:nvidia:geforce-rtx-3060:desktop:global,,,,
GeForce RTX 3060 8GB,gpu,nvidia,hw:nvidia:geforce-rtx-3060-8gb:desktop:global,,,,
GeForce RTX 3060 Ti,gpu,nvidia,hw:nvidia:geforce-rtx-3060-ti:desktop:global,,,,
GeForce RTX 3070,gpu,nvidia,hw:nvidia:geforce-rtx-3070:desktop:global,,,,
GeForce RTX 3070 Ti,gpu,nvidia,hw:nvidia:geforce-rtx-3070-ti:desktop:global,,,,
GeForce RTX 4090 D,gpu,nvidia,hw:nvidia:geforce-rtx-4090-d:desktop:global,,,,
GeForce RTX 5050,gpu,nvidia,hw:nvidia:geforce-rtx-5050:desktop:global,,,,
GeForce RTX 5060,gpu,nvidia,hw:nvidia:geforce-rtx-5060:desktop:global,,,,
